                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.892,                 3.3119,                 1.5512,                0.00055,                0.33007,                0.00349,                0.00093,                0.65556,                 1.5062,                 1.1113,               0.097802,                2.2e-06,                2.2e-06
                      2,                0.59542,                 1.6182,                  0.899,                0.00079,                0.34022,                0.00943,                0.00203,                0.78666,                 1.3334,                 1.4429,               0.095554,               4.45e-06,               4.45e-06
                      3,                  0.507,                 1.7469,                0.74515,                  4e-05,                0.05072,                  7e-05,                  2e-05,                 1.3326,                0.80802,                 2.8428,               0.093307,                6.7e-06,                6.7e-06
                      4,                0.51519,                 1.7093,                 0.7467,                0.33491,                0.58042,                0.02332,                0.00536,                0.58887,                 1.5789,                 1.0165,               0.091059,               8.95e-06,               8.95e-06
                      5,                0.45492,                 1.7286,                0.63433,                0.00981,                0.47712,                0.02167,                0.00833,                0.43591,                  1.802,                0.64201,               0.088811,               1.12e-05,               1.12e-05
                      6,                0.39439,                 1.8365,                0.54655,                0.00295,                0.57925,                0.03134,                 0.0079,                0.68953,                 1.4177,                 1.1882,               0.086563,              1.345e-05,              1.345e-05
                      7,                0.40087,                  1.827,                0.55106,                0.00097,                 0.2919,                0.00482,                0.00069,                 1.0931,                0.89029,                 2.4642,               0.084316,               1.57e-05,               1.57e-05
                      8,                0.35158,                 1.9253,                 0.4504,                0.00387,                0.43608,                0.01124,                0.00261,                0.65601,                 1.7073,                 1.1323,               0.082068,              1.795e-05,              1.795e-05
                      9,                0.37381,                  1.888,                0.49987,                0.00021,                0.08454,                 0.0004,                  8e-05,                 1.1988,                0.62095,                 3.1674,                0.07982,               2.02e-05,               2.02e-05
                     10,                0.32715,                 1.9891,                0.42722,                0.00084,                0.24339,                0.00357,                 0.0006,                 1.2204,                0.84921,                 2.7915,               0.077572,              2.245e-05,              2.245e-05
                     11,                0.34539,                 1.9317,                0.44953,                0.00039,                 0.1688,                0.00113,                 0.0002,                 1.0264,                0.91812,                 2.5041,               0.075325,               2.47e-05,               2.47e-05
                     12,                0.32111,                 1.9394,                0.41982,                0.00053,                0.14694,                0.00251,                0.00031,                 1.2648,                0.62834,                 2.9067,               0.073077,              2.695e-05,              2.695e-05
                     13,                0.31428,                 1.9613,                0.38743,                0.01881,                0.32528,                0.01541,                0.00651,                0.64813,                 1.5448,                 1.0939,               0.070829,               2.92e-05,               2.92e-05
                     14,                0.29318,                 2.0359,                0.38278,                 0.0031,                0.91974,                0.01194,                0.00361,                0.55396,                 1.8424,                0.94332,               0.068581,              3.145e-05,              3.145e-05
                     15,                0.28628,                 2.0276,                0.36122,                0.00056,                 0.3324,                0.02515,                 0.0063,                0.76763,                 1.5394,                 1.1903,               0.066334,               3.37e-05,               3.37e-05
                     16,                0.27622,                 2.0543,                0.36038,                0.00166,                 0.4511,                0.00246,                0.00046,                0.96248,                 1.1439,                 1.6731,               0.064086,              3.595e-05,              3.595e-05
