                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0271,                 4.3782,                 2.0413,                0.00015,                0.08824,                0.00018,                  2e-05,                 1.3245,                0.72435,                 2.2063,               0.097802,                2.2e-06,                2.2e-06
                      2,                0.99247,                 1.0439,                 1.8479,                0.00045,                0.27124,                 0.0096,                 0.0026,                 0.8247,                 1.1907,                 1.6019,               0.095554,               4.45e-06,               4.45e-06
                      3,                0.94734,                 1.0582,                 1.8413,                0.00014,                0.15476,                0.00131,                0.00022,                 1.0163,                0.85663,                 2.2584,               0.093307,                6.7e-06,                6.7e-06
                      4,                0.87657,                 1.1717,                 1.6408,                 0.0002,                0.26812,                0.00113,                0.00019,                0.84967,                 1.2538,                 1.3621,               0.091059,               8.95e-06,               8.95e-06
                      5,                0.67512,                 1.4152,                 1.1577,                0.00199,                0.43662,                0.01994,                0.00577,                0.63248,                 1.5574,                 1.0741,               0.088811,               1.12e-05,               1.12e-05
                      6,                0.72305,                 1.3924,                 1.3158,                 0.3342,                0.31373,                 0.0279,                0.00818,                0.72048,                 1.3455,                 1.1973,               0.086563,              1.345e-05,              1.345e-05
                      7,                0.70805,                 1.3709,                 1.2211,                0.01769,                0.32097,                0.04789,                0.01422,                0.58857,                 1.6015,                0.98732,               0.084316,               1.57e-05,               1.57e-05
                      8,                0.81369,                 1.1536,                 1.4791,                0.70564,                0.11765,                0.05401,                0.01274,                0.70889,                 1.3447,                 1.1835,               0.082068,              1.795e-05,              1.795e-05
                      9,                0.73675,                 1.1735,                 1.3243,                0.36567,                0.12092,                0.03571,                0.01294,                0.61583,                 1.4987,                 1.0373,                0.07982,               2.02e-05,               2.02e-05
                     10,                0.70056,                 1.1776,                 1.2469,                0.00375,                0.24161,                0.02131,                0.00492,                 1.0721,                0.79106,                  2.283,               0.077572,              2.245e-05,              2.245e-05
                     11,                0.65792,                 1.1517,                 1.1232,                0.34852,                0.18301,                0.03569,                0.00858,                0.76829,                 1.3175,                 1.4213,               0.075325,               2.47e-05,               2.47e-05
                     12,                0.64295,                 1.1537,                 1.1213,                0.55257,                0.21311,                0.11525,                0.03029,                0.66856,                 1.5496,                 1.2065,               0.073077,              2.695e-05,              2.695e-05
                     13,                0.67225,                 1.1165,                 1.1175,                 0.8117,                0.04575,                0.13905,                0.04225,                0.79021,                 1.2486,                   1.34,               0.070829,               2.92e-05,               2.92e-05
                     14,                 0.6664,                 1.1226,                 1.1607,                0.41569,                 0.2797,                0.19812,                0.07805,                0.56446,                 1.4162,                0.98059,               0.068581,              3.145e-05,              3.145e-05
                     15,                0.63072,                 1.1131,                 1.0846,                0.09002,                0.07859,                0.06146,                0.02036,                0.64257,                 1.4325,                 1.1326,               0.066334,               3.37e-05,               3.37e-05
                     16,                0.65218,                 1.0768,                 1.1179,                0.45504,                0.25047,                0.14651,                0.05386,                0.60361,                  1.264,                  1.035,               0.064086,              3.595e-05,              3.595e-05
                     17,                0.65241,                 1.1062,                  1.131,                0.39671,                0.14379,                0.09526,                 0.0429,                0.58203,                 1.3757,                0.99822,               0.061838,               3.82e-05,               3.82e-05
                     18,                0.57859,                 1.2085,                0.97147,                0.16587,                0.27171,                0.18989,                0.07241,                0.59509,                 1.3353,                 1.0189,                0.05959,              4.045e-05,              4.045e-05
                     19,                0.53957,                 1.3478,                0.89352,                0.18918,                0.23652,                 0.0761,                0.02647,                 0.5388,                 1.6177,                0.91173,               0.057343,               4.27e-05,               4.27e-05
                     20,                0.49095,                 1.3937,                0.79144,                0.49586,                0.40605,                 0.2139,                0.08101,                0.56091,                 1.3799,                 1.0191,               0.055095,              4.495e-05,              4.495e-05
                     21,                0.45437,                 1.5083,                0.69596,                 0.1192,                0.38378,                0.12369,                0.07579,                0.33113,                  1.815,                0.51315,               0.052847,               4.72e-05,               4.72e-05
                     22,                0.38081,                 1.6516,                0.56462,                0.09973,                 0.2193,                0.06349,                0.01905,                0.71569,                 1.1411,                 1.3891,               0.050599,              4.945e-05,              4.945e-05
                     23,                0.35594,                 1.7091,                0.51346,                0.15961,                0.30499,                0.16109,                0.08865,                0.35286,                 1.6478,                0.48833,               0.048352,               5.17e-05,               5.17e-05
                     24,                0.37751,                 1.7655,                 0.4953,                0.46678,                0.25974,                0.10815,                 0.0675,                0.29341,                 1.7418,                0.41116,               0.046104,              5.395e-05,              5.395e-05
