                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88091,                 6.2067,                 1.4899,                0.00016,                0.21014,                0.00056,                0.00011,                0.81695,                 1.2521,                 1.6032,               0.097802,                2.2e-06,                2.2e-06
                      2,                0.85629,                 1.2405,                 1.5547,                0.00024,                0.13399,                0.00055,                 0.0001,                 1.1174,                0.89633,                 1.7945,               0.095554,               4.45e-06,               4.45e-06
                      3,                0.84369,                 1.2706,                 1.5047,                0.00023,                0.14053,                0.00156,                0.00022,                 1.0704,                0.85198,                 2.5444,               0.093307,                6.7e-06,                6.7e-06
                      4,                0.79951,                 1.3304,                 1.4256,                0.00067,                0.29739,                 0.0079,                0.00157,                0.77248,                 1.3057,                 1.3615,               0.091059,               8.95e-06,               8.95e-06
                      5,                0.71609,                 1.4234,                 1.1808,                 0.0012,                 0.1732,                0.00152,                0.00024,                 1.0708,                0.95515,                 2.0816,               0.088811,               1.12e-05,               1.12e-05
                      6,                0.66496,                 1.4713,                 1.0828,                0.00212,                0.28958,                 0.0105,                0.00161,                0.94531,                 1.2777,                 2.0198,               0.086563,              1.345e-05,              1.345e-05
                      7,                0.67397,                 1.4445,                 1.0783,                0.00831,                0.62522,                0.02994,                0.00648,                0.81652,                 1.1061,                 1.5993,               0.084316,               1.57e-05,               1.57e-05
                      8,                0.61902,                 1.5402,                0.98565,                 0.3361,                0.42204,                0.01278,                0.00306,                0.66346,                 1.3498,                 1.2271,               0.082068,              1.795e-05,              1.795e-05
                      9,                0.66099,                 1.4763,                 1.0467,                0.00051,                0.27451,                0.00422,                0.00098,                0.72661,                  1.432,                 1.2775,                0.07982,               2.02e-05,               2.02e-05
                     10,                 0.6369,                 1.4734,                 1.0205,                0.00193,                0.40488,                0.00855,                 0.0019,                0.81152,                  1.243,                 1.5957,               0.077572,              2.245e-05,              2.245e-05
                     11,                0.58426,                 1.5468,                0.88752,                0.00484,                0.43237,                0.00852,                0.00235,                0.82457,                 1.1322,                 1.6577,               0.075325,               2.47e-05,               2.47e-05
                     12,                0.63961,                 1.3789,                0.99563,                0.00149,                0.22549,                0.00366,                0.00065,                 1.0262,                 1.1121,                 2.2333,               0.073077,              2.695e-05,              2.695e-05
                     13,                0.60819,                 1.4292,                0.90965,                 0.3343,                0.33007,                0.00621,                0.00193,                0.62417,                 1.5626,                 1.0832,               0.070829,               2.92e-05,               2.92e-05
                     14,                0.55461,                 1.4484,                0.88404,                0.00208,                 0.0719,                0.00672,                0.00209,                0.64702,                 1.9295,                 1.1387,               0.068581,              3.145e-05,              3.145e-05
                     15,                0.49662,                 1.5093,                 0.7599,                0.33485,                0.32353,                0.00611,                0.00192,                0.61312,                  1.575,                 1.0772,               0.066334,               3.37e-05,               3.37e-05
                     16,                0.46873,                 1.5634,                0.66975,                0.33434,                0.31373,                0.00583,                0.00154,                  0.696,                 1.3666,                 1.2823,               0.064086,              3.595e-05,              3.595e-05
                     17,                0.42295,                 1.6215,                0.63102,                0.00111,                0.31699,                0.00496,                0.00105,                0.82289,                 1.4497,                 1.4441,               0.061838,               3.82e-05,               3.82e-05
