                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87449,                 3.1526,                 1.5631,                0.00018,                0.10903,                0.00561,                0.00101,                 1.1091,                0.82627,                 2.7023,               0.097652,               2.35e-06,               2.35e-06
                      2,                0.59682,                  1.638,                0.90893,                0.00019,                0.19444,                0.00591,                0.00071,                 1.0776,                 1.1128,                 2.1999,               0.095255,               4.75e-06,               4.75e-06
                      3,                0.51027,                  1.743,                0.74233,                0.00013,                0.09524,                0.00053,                  8e-05,                 1.2862,                0.65988,                 2.3291,               0.092857,               7.15e-06,               7.15e-06
                      4,                0.43381,                 1.7553,                0.62688,                0.00011,                0.14966,                0.00114,                0.00022,                 1.0297,                0.96517,                 2.4338,                0.09046,               9.55e-06,               9.55e-06
                      5,                0.39731,                 1.8169,                0.52868,                0.00011,                0.14966,                0.00114,                0.00022,                 2.0446,                0.31032,                 3.8344,               0.088062,              1.195e-05,              1.195e-05
                      6,                0.38633,                 1.8107,                0.51427,                0.00011,                0.14966,                0.00114,                0.00022,                 2.0087,                0.32343,                 3.4548,               0.085664,              1.435e-05,              1.435e-05
                      7,                0.36066,                 1.9299,                0.47746,                0.00011,                0.14966,                0.00114,                0.00022,                 2.0871,                0.53012,                 5.4434,               0.083267,              1.675e-05,              1.675e-05
                      8,                0.31558,                 2.0432,                0.41342,                  2e-05,                0.01246,                  1e-05,                      0,                 1.3857,                0.39948,                 2.6309,               0.080869,              1.915e-05,              1.915e-05
                      9,                0.31966,                 1.9866,                0.40276,                0.00068,                0.16568,                0.00087,                0.00021,                 1.0334,                0.92137,                 2.5791,               0.078472,              2.155e-05,              2.155e-05
                     10,                0.32009,                  2.021,                0.40795,                0.00068,                0.16568,                0.00087,                0.00021,                 2.1673,                0.23677,                 4.7724,               0.076074,              2.395e-05,              2.395e-05
                     11,                0.31774,                 2.0406,                0.40467,                  2e-05,                0.01111,                  1e-05,                      0,                 1.4774,                0.31638,                 2.9352,               0.073676,              2.635e-05,              2.635e-05
                     12,                 0.3113,                 2.0495,                0.39166,                0.00015,                0.11111,                0.00014,                  2e-05,                 1.1996,                0.77654,                 1.9322,               0.071279,              2.875e-05,              2.875e-05
                     13,                0.30836,                 2.0361,                0.38821,                0.35621,                0.15758,                0.01508,                0.00859,                0.88441,                 1.1491,                 1.5346,               0.068881,              3.115e-05,              3.115e-05
                     14,                0.29257,                 2.0783,                0.37094,                0.00036,                0.21807,                0.00124,                0.00025,                 1.0259,                 1.0944,                 1.7071,               0.066484,              3.355e-05,              3.355e-05
                     15,                0.27877,                 2.1263,                0.35297,                 0.0016,                0.55612,                 0.0163,                0.00359,                0.76222,                 1.5755,                 1.5724,               0.064086,              3.595e-05,              3.595e-05
                     16,                0.28455,                 2.0844,                0.35645,                 0.0016,                0.55612,                 0.0163,                0.00359,                 1.8362,                0.22769,                 3.0381,               0.061688,              3.835e-05,              3.835e-05
                     17,                0.26608,                 2.1141,                0.33545,                0.00068,                0.35851,                0.00109,                0.00027,                 0.8347,                 1.5791,                 1.6718,               0.059291,              4.075e-05,              4.075e-05
                     18,                0.25981,                 2.1331,                 0.3245,                 0.0016,                0.49352,                0.01655,                0.00318,                0.98195,                 1.2517,                 2.0788,               0.056893,              4.315e-05,              4.315e-05
                     19,                0.28726,                 2.0446,                0.36958,                 0.0016,                0.49352,                0.01655,                0.00318,                 2.2584,                0.13671,                 5.6797,               0.054496,              4.555e-05,              4.555e-05
                     20,                0.27479,                 2.0771,                0.35362,                  5e-05,                0.02352,                  3e-05,                  1e-05,                 1.7165,                0.34082,                 2.9356,               0.052098,              4.795e-05,              4.795e-05
                     21,                0.27307,                 2.0731,                0.34782,                  7e-05,                0.09524,                0.00182,                0.00034,                 1.2502,                0.74419,                 2.9327,                 0.0497,              5.035e-05,              5.035e-05
                     22,                 0.2571,                 2.1779,                0.32692,                0.00261,                0.35857,                0.00182,                0.00038,                0.78112,                 1.6971,                 1.3676,               0.047303,              5.275e-05,              5.275e-05
                     23,                 0.2523,                  2.105,                0.31202,                0.00067,                0.17425,                0.00094,                0.00016,                 1.1756,                0.72313,                 2.2132,               0.044905,              5.515e-05,              5.515e-05
                     24,                0.24219,                 2.1057,                0.31441,                 0.0006,                0.29155,                0.00149,                0.00031,                 1.1249,                 1.1965,                 1.9997,               0.042508,              5.755e-05,              5.755e-05
                     25,                0.26259,                 2.0608,                0.32969,                 0.0006,                0.29155,                0.00149,                0.00031,                 1.3621,                0.52911,                 2.5916,                0.04011,              5.995e-05,              5.995e-05
                     26,                 0.2345,                  2.072,                0.29908,                0.00013,                0.17687,                0.00076,                0.00015,                  1.174,                0.97123,                 2.0864,               0.037712,              6.235e-05,              6.235e-05
                     27,                0.25115,                 1.9824,                0.33199,                 0.3339,                0.33333,                0.01486,                0.00888,                0.48586,                 2.0358,                0.79182,               0.035315,              6.475e-05,              6.475e-05
                     28,                0.24275,                  1.963,                0.30939,                0.00048,                0.23107,                0.00109,                0.00016,                 1.0811,                 1.0643,                 1.8646,               0.032917,              6.715e-05,              6.715e-05
                     29,                0.25606,                 1.9075,                0.34012,                0.66227,                  0.142,                0.01364,                0.00348,                0.75301,                 1.4257,                 1.2679,                0.03052,              6.955e-05,              6.955e-05
                     30,                0.26106,                 1.8762,                0.33781,                 0.0003,                0.05249,                 0.0017,                0.00057,                 1.6293,                0.44273,                 2.7677,               0.028122,              7.195e-05,              7.195e-05
                     31,                0.25489,                 1.8396,                0.32576,                 0.0728,                0.15769,                0.02647,                0.00995,                0.38131,                 2.4385,                0.56437,               0.025724,              7.435e-05,              7.435e-05
                     32,                0.29135,                 1.5679,                0.38921,                0.13288,                0.20088,                 0.1476,                0.08154,                0.32758,                 1.8576,                0.50734,               0.023327,              7.675e-05,              7.675e-05
                     33,                0.31595,                  1.286,                0.44623,                0.38232,                0.33536,                 0.0379,                0.01791,                0.34089,                 2.0134,                0.53292,               0.020929,              7.915e-05,              7.915e-05
                     34,                0.32172,                 1.2305,                0.45621,                0.05008,                0.19694,                  0.057,                0.01571,                0.58176,                 1.7467,                 1.1603,               0.018532,              8.155e-05,              8.155e-05
                     35,                0.33149,                 1.0502,                0.48565,                0.41605,                 0.1322,                0.04217,                0.01533,                 0.5654,                 1.8651,                 1.0297,               0.016134,              8.395e-05,              8.395e-05
                     36,                0.33845,                 1.0164,                0.49262,                0.41456,                0.29575,                0.21459,                0.11969,                0.33574,                 1.6699,                0.51199,               0.013736,              8.635e-05,              8.635e-05
                     37,                0.33305,                0.98043,                0.49258,                0.33201,                0.35086,                0.22993,                0.13993,                0.36221,                 1.5551,                0.57648,               0.011339,              8.875e-05,              8.875e-05
                     38,                0.34639,                0.95326,                0.52262,                0.45825,                0.21007,                0.16114,                0.07701,                0.48006,                 1.3966,                 0.8335,              0.0089412,              9.115e-05,              9.115e-05
                     39,                0.34067,                0.94132,                0.51151,                 0.5497,                 0.1334,                0.07007,                0.03236,                0.48203,                 1.7192,                0.81748,              0.0065436,              9.355e-05,              9.355e-05
                     40,                 0.3433,                 0.8855,                0.52475,                0.66856,                  0.546,                0.53975,                0.29091,                0.37714,                 0.8736,                0.64902,               0.004146,              9.595e-05,              9.595e-05
                     41,                0.34325,                0.86993,                0.52335,                0.42218,                0.52136,                0.37093,                0.20229,                0.39449,                0.99574,                0.67871,              0.0017484,              9.835e-05,              9.835e-05
                     42,                0.31894,                0.88806,                0.49156,                0.60649,                0.39907,                0.34649,                0.20862,                0.38009,                 1.0539,                0.64136,                 0.0001,                 0.0001,                 0.0001
