                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0638,                 3.7273,                 2.0947,                0.00012,                0.14286,                0.00013,                  3e-05,                 1.0268,                 0.8853,                 1.8088,               0.097652,               2.35e-06,               2.35e-06
                      2,                 1.0238,                0.98037,                 2.0345,                0.00011,                0.11667,                0.00089,                0.00014,                 1.0921,                 1.0379,                 2.6332,               0.095255,               4.75e-06,               4.75e-06
                      3,                0.98659,                  1.089,                 1.8864,                0.00024,                0.31293,                0.00882,                0.00273,                0.64138,                  1.677,                 1.1059,               0.092857,               7.15e-06,               7.15e-06
                      4,                0.75864,                 1.3362,                 1.3238,                0.00017,                0.22449,                0.00491,                0.00077,                 1.1067,                 1.0117,                 2.0192,                0.09046,               9.55e-06,               9.55e-06
                      5,                  0.733,                 1.2673,                  1.276,                0.00361,                0.69724,                0.05479,                0.01535,                0.75469,                 1.3679,                 1.3435,               0.088062,              1.195e-05,              1.195e-05
                      6,                0.75273,                 1.1825,                 1.3299,                0.00572,                0.46551,                0.02607,                 0.0059,                 1.0744,                0.87852,                 1.7878,               0.085664,              1.435e-05,              1.435e-05
                      7,                0.67389,                 1.2418,                 1.1488,                0.00152,                0.28406,                0.04351,                0.01134,                0.89862,                 1.0959,                  1.716,               0.083267,              1.675e-05,              1.675e-05
                      8,                0.72489,                 1.1536,                 1.2603,                0.00183,                0.23129,                 0.0145,                0.00252,                0.99121,                0.96502,                 2.0906,               0.080869,              1.915e-05,              1.915e-05
                      9,                0.70275,                 1.1633,                 1.2172,                0.00699,                0.16822,                0.02004,                 0.0059,                0.95333,                0.94657,                 2.0522,               0.078472,              2.155e-05,              2.155e-05
                     10,                0.64901,                  1.165,                 1.1143,                0.38559,                    0.1,                0.09402,                0.02466,                0.69229,                 1.4564,                 1.2203,               0.076074,              2.395e-05,              2.395e-05
                     11,                0.78663,                 1.0337,                 1.4093,                0.00466,                 0.3229,                0.02118,                0.00529,                0.86671,                 1.0911,                 1.7387,               0.073676,              2.635e-05,              2.635e-05
                     12,                 0.6892,                 1.1078,                 1.1599,                0.00334,                0.58929,                0.10842,                0.02778,                0.63659,                 1.5618,                 1.0992,               0.071279,              2.875e-05,              2.875e-05
                     13,                0.63275,                 1.1052,                 1.0505,                0.48035,                0.21705,                0.13867,                0.05454,                0.58329,                 1.2006,                 1.0442,               0.068881,              3.115e-05,              3.115e-05
                     14,                0.59677,                  1.144,                 1.0222,                0.41496,                0.12022,                0.12288,                0.03328,                0.63638,                  1.449,                 1.1365,               0.066484,              3.355e-05,              3.355e-05
                     15,                0.64539,                 1.0829,                 1.1008,                0.50396,                0.19035,                0.16601,                0.04657,                0.69871,                 1.2345,                 1.2233,               0.064086,              3.595e-05,              3.595e-05
                     16,                0.64847,                 1.0855,                 1.1198,                0.48483,                0.22068,                0.17525,                0.07026,                0.61085,                 1.2322,                 1.1023,               0.061688,              3.835e-05,              3.835e-05
                     17,                0.67923,                 1.0481,                 1.1481,                0.19051,                0.27092,                0.19068,                0.06258,                0.58917,                 1.2672,                 1.0488,               0.059291,              4.075e-05,              4.075e-05
                     18,                0.54238,                 1.2501,                0.89303,                0.11834,                0.15192,                0.11145,                0.04315,                0.54439,                 1.5698,                0.95046,               0.056893,              4.315e-05,              4.315e-05
                     19,                0.53185,                 1.3282,                0.87781,                0.09962,                0.33526,                0.13197,                0.05434,                0.47032,                  1.615,                0.81144,               0.054496,              4.555e-05,              4.555e-05
                     20,                0.49452,                 1.4014,                0.80188,                0.11924,                0.19034,                0.11846,                0.05143,                0.54628,                 1.4203,                0.94642,               0.052098,              4.795e-05,              4.795e-05
                     21,                0.52059,                 1.3676,                0.86975,                0.16535,                0.41226,                0.19269,                0.09636,                0.46924,                 1.4166,                0.82291,                 0.0497,              5.035e-05,              5.035e-05
                     22,                0.47091,                 1.5415,                0.77328,                0.19504,                0.49471,                0.15941,                0.07403,                0.45841,                 1.4123,                0.78443,               0.047303,              5.275e-05,              5.275e-05
                     23,                0.45819,                  1.494,                 0.7465,                0.49361,                0.31765,                0.20304,                0.08885,                 0.4781,                 1.3846,                0.83578,               0.044905,              5.515e-05,              5.515e-05
                     24,                0.45207,                   1.54,                0.72039,                0.51968,                    0.3,                0.18366,                 0.0864,                0.43997,                 1.5721,                0.76601,               0.042508,              5.755e-05,              5.755e-05
                     25,                0.43107,                 1.4142,                0.68263,                0.25064,                0.55346,                0.31786,                0.12515,                0.43742,                 1.4718,                0.73965,                0.04011,              5.995e-05,              5.995e-05
                     26,                0.45067,                 1.2785,                0.69635,                0.20469,                0.58014,                0.23382,                0.08425,                0.61429,                 1.0266,                0.94941,               0.037712,              6.235e-05,              6.235e-05
                     27,                0.49365,                 1.0804,                0.76025,                 0.4857,                0.48676,                0.42121,                 0.1551,                 0.5217,                 1.0778,                0.92409,               0.035315,              6.475e-05,              6.475e-05
                     28,                0.53755,                 0.9352,                0.83012,                0.52234,                0.73349,                0.48143,                0.18624,                0.55574,                0.96223,                0.98996,               0.032917,              6.715e-05,              6.715e-05
                     29,                0.48319,                0.96289,                0.76206,                0.37004,                0.63729,                0.45447,                0.16513,                0.53199,                0.99807,                0.94967,                0.03052,              6.955e-05,              6.955e-05
                     30,                0.49704,                0.89743,                0.76444,                0.56932,                 0.6707,                0.54434,                0.20558,                  0.483,                 1.1234,                 0.8365,               0.028122,              7.195e-05,              7.195e-05
                     31,                0.44673,                 1.0292,                0.66115,                 0.6298,                0.61209,                0.51997,                0.21005,                0.48107,                 1.0644,                 0.8523,               0.025724,              7.435e-05,              7.435e-05
                     32,                0.45409,                0.90552,                0.66461,                0.52053,                0.62641,                0.49935,                 0.1568,                 0.4715,                 1.4567,                0.86804,               0.023327,              7.675e-05,              7.675e-05
                     33,                0.44543,                0.88729,                0.69012,                0.72765,                0.74522,                0.67372,                0.35572,                0.43409,                 0.8392,                0.70302,               0.020929,              7.915e-05,              7.915e-05
                     34,                  0.437,                 0.9055,                0.67145,                0.67448,                0.59622,                 0.5089,                0.24559,                0.46079,                0.88596,                0.75474,               0.018532,              8.155e-05,              8.155e-05
                     35,                0.45855,                0.79295,                0.69045,                0.54819,                0.72149,                 0.5327,                0.26841,                0.47628,                0.77753,                0.74097,               0.016134,              8.395e-05,              8.395e-05
                     36,                0.45599,                0.78162,                0.69278,                0.71492,                0.63882,                0.58931,                0.32497,                0.42196,                 0.7843,                0.66658,               0.013736,              8.635e-05,              8.635e-05
                     37,                0.48622,                 0.6813,                  0.751,                0.64865,                 0.7505,                0.63488,                0.30297,                0.49018,                0.71061,                0.79115,               0.011339,              8.875e-05,              8.875e-05
                     38,                0.43733,                0.76746,                 0.6742,                0.68129,                0.53048,                0.43864,                0.22059,                0.44973,                0.99351,                0.75517,              0.0089412,              9.115e-05,              9.115e-05
                     39,                0.45334,                0.75183,                0.71172,                0.76956,                0.74174,                0.71053,                0.37568,                0.43906,                0.68345,                0.73981,              0.0065436,              9.355e-05,              9.355e-05
                     40,                0.43375,                0.70763,                 0.6696,                0.65772,                0.64376,                0.58436,                0.31648,                0.43628,                 0.7566,                0.76276,               0.004146,              9.595e-05,              9.595e-05
                     41,                0.44306,                0.70362,                0.68114,                0.80899,                0.71569,                0.72408,                0.38986,                0.43016,                 0.6584,                0.74201,              0.0017484,              9.835e-05,              9.835e-05
                     42,                0.42716,                0.67007,                0.67647,                0.69544,                0.71006,                0.66227,                0.36255,                0.43751,                0.71097,                 0.7288,                 0.0001,                 0.0001,                 0.0001
                     43,                0.42702,                 0.6912,                0.67164,                 0.7548,                 0.7595,                0.73765,                0.34258,                0.46304,                0.82234,                0.82875,                 0.0001,                 0.0001,                 0.0001
                     44,                 0.4314,                0.67589,                0.66833,                0.80171,                0.76105,                0.74886,                0.42465,                0.41215,                0.60629,                0.67909,                 0.0001,                 0.0001,                 0.0001
                     45,                0.41755,                0.68413,                0.63646,                0.78428,                0.83234,                0.79668,                0.43748,                0.39999,                0.67279,                0.67836,                 0.0001,                 0.0001,                 0.0001
                     46,                0.41244,                0.69328,                 0.6485,                 0.8318,                0.78985,                 0.7678,                 0.4525,                0.38631,                0.69942,                0.62873,                 0.0001,                 0.0001,                 0.0001
                     47,                0.40281,                0.64839,                0.62641,                0.82139,                 0.7608,                0.73674,                0.40826,                0.41874,                0.57364,                0.69681,                 0.0001,                 0.0001,                 0.0001
                     48,                0.43512,                 0.6455,                0.68024,                0.73321,                0.73036,                0.65107,                0.35334,                0.38938,                0.82947,                0.64041,                 0.0001,                 0.0001,                 0.0001
                     49,                0.42027,                0.63391,                0.65537,                0.84563,                0.77735,                0.76516,                0.46683,                0.39116,                0.57923,                0.64782,                 0.0001,                 0.0001,                 0.0001
                     50,                 0.4072,                0.64627,                0.64767,                0.82416,                0.74556,                0.75394,                0.40923,                0.42891,                0.66029,                0.74037,                 0.0001,                 0.0001,                 0.0001
                     51,                0.41428,                 0.6385,                0.64582,                 0.7948,                0.81552,                0.77183,                0.43311,                0.42258,                0.64647,                0.70154,                 0.0001,                 0.0001,                 0.0001
                     52,                0.41325,                0.65878,                0.65406,                 0.7922,                0.73436,                0.70305,                0.39295,                0.41356,                0.71425,                0.71307,                 0.0001,                 0.0001,                 0.0001
                     53,                0.41224,                0.67586,                 0.6367,                0.73407,                0.71967,                0.71127,                0.42102,                0.37949,                0.66936,                0.62019,                 0.0001,                 0.0001,                 0.0001
                     54,                0.40514,                0.63532,                0.63067,                0.77534,                0.81406,                0.76441,                0.43846,                 0.4024,                0.63964,                0.65808,                 0.0001,                 0.0001,                 0.0001
                     55,                0.40244,                 0.6343,                0.62697,                0.79884,                0.81896,                0.82518,                0.50249,                0.37264,                 0.5786,                0.61695,                 0.0001,                 0.0001,                 0.0001
                     56,                0.39634,                0.64694,                0.60345,                0.81915,                0.78885,                0.80426,                0.46664,                0.39501,                0.57821,                0.65022,                 0.0001,                 0.0001,                 0.0001
                     57,                0.39373,                0.62884,                0.60824,                0.82469,                0.81115,                0.79589,                0.42401,                0.43944,                0.60034,                0.77921,                 0.0001,                 0.0001,                 0.0001
                     58,                0.41036,                0.60467,                0.63715,                0.84127,                0.80627,                0.80858,                0.48155,                0.38059,                 0.5554,                 0.6331,                 0.0001,                 0.0001,                 0.0001
                     59,                0.39872,                0.62157,                 0.6038,                0.79318,                0.78618,                0.77017,                0.44564,                0.39077,                0.59162,                0.64619,                 0.0001,                 0.0001,                 0.0001
                     60,                0.40593,                0.59237,                 0.6381,                0.78978,                0.75513,                0.75327,                0.44485,                0.38652,                 0.6404,                0.63736,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.3843,                0.63884,                0.60074,                0.81638,                0.82037,                0.83684,                0.47916,                0.38887,                0.59992,                0.65732,                 0.0001,                 0.0001,                 0.0001
                     62,                0.37529,                0.61131,                0.56798,                0.85679,                0.80681,                0.81054,                0.48257,                0.37234,                 0.6058,                0.63091,                 0.0001,                 0.0001,                 0.0001
                     63,                0.38998,                0.61353,                 0.6051,                0.79161,                 0.8191,                0.79671,                0.40607,                0.44212,                0.65469,                0.77784,                 0.0001,                 0.0001,                 0.0001
                     64,                0.37712,                0.58565,                0.57321,                  0.853,                0.74879,                 0.7677,                0.46588,                0.36525,                0.66022,                0.58449,                 0.0001,                 0.0001,                 0.0001
                     65,                 0.3684,                0.61765,                 0.5525,                0.80985,                0.78965,                0.78833,                 0.4473,                0.38921,                0.62723,                0.66396,                 0.0001,                 0.0001,                 0.0001
                     66,                0.37455,                0.61391,                0.56935,                0.82599,                0.78411,                0.77748,                0.43872,                0.39826,                0.64246,                 0.6759,                 0.0001,                 0.0001,                 0.0001
                     67,                0.37387,                0.57205,                0.58037,                0.81005,                0.84002,                0.83221,                0.49896,                0.36129,                0.59745,                0.59602,                 0.0001,                 0.0001,                 0.0001
                     68,                0.38527,                0.58584,                0.59847,                0.80884,                0.82419,                0.81328,                 0.4831,                0.38433,                0.55774,                0.65989,                 0.0001,                 0.0001,                 0.0001
                     69,                0.36778,                0.59599,                0.57307,                0.87533,                0.77357,                0.78061,                0.46211,                0.36849,                0.60468,                0.61436,                 0.0001,                 0.0001,                 0.0001
                     70,                0.36707,                0.59754,                0.57211,                0.83237,                0.86111,                 0.8175,                 0.4852,                0.37584,                0.58193,                0.63822,                 0.0001,                 0.0001,                 0.0001
                     71,                0.37585,                 0.5468,                0.57674,                0.82965,                 0.8568,                0.81509,                 0.4962,                0.37055,                0.57626,                0.62696,                 0.0001,                 0.0001,                 0.0001
                     72,                0.36537,                0.56609,                0.55951,                0.86812,                0.85326,                0.85293,                0.51097,                0.38091,                0.54917,                0.65223,                 0.0001,                 0.0001,                 0.0001
                     73,                0.36408,                0.52353,                0.56387,                0.83603,                 0.8174,                0.77387,                0.47362,                  0.361,                0.64884,                0.60287,                 0.0001,                 0.0001,                 0.0001
                     74,                0.35597,                0.54182,                0.54348,                0.87163,                 0.7519,                0.78332,                0.46213,                 0.3834,                0.58085,                0.64005,                 0.0001,                 0.0001,                 0.0001
                     75,                0.37725,                0.55217,                0.58029,                0.82361,                0.79687,                0.81281,                0.48606,                0.37902,                0.58198,                 0.6532,                 0.0001,                 0.0001,                 0.0001
                     76,                0.37343,                0.56104,                0.57543,                0.83523,                0.79795,                0.79114,                0.43083,                0.41456,                0.58897,                 0.7259,                 0.0001,                 0.0001,                 0.0001
                     77,                0.36658,                0.52512,                0.57282,                0.81432,                0.81065,                 0.8057,                0.48895,                0.37051,                0.56555,                0.62052,                 0.0001,                 0.0001,                 0.0001
                     78,                0.35679,                0.57234,                 0.5524,                  0.842,                0.77901,                0.79107,                0.49708,                0.35357,                 0.5926,                 0.5768,                 0.0001,                 0.0001,                 0.0001
                     79,                0.35507,                0.53756,                0.55548,                0.82467,                0.81239,                0.79178,                0.47245,                0.37738,                0.60389,                0.64245,                 0.0001,                 0.0001,                 0.0001
                     80,                0.35698,                 0.5495,                0.54879,                0.84703,                0.76858,                0.78583,                0.48074,                0.36847,                0.62755,                0.62614,                 0.0001,                 0.0001,                 0.0001
                     81,                0.35855,                 0.5573,                0.55397,                0.83173,                0.76503,                0.79879,                0.48633,                0.36493,                 0.6317,                0.59799,                 0.0001,                 0.0001,                 0.0001
                     82,                 0.3683,                0.53643,                0.56811,                0.85146,                0.77602,                0.78707,                0.45818,                0.38605,                0.57386,                0.66016,                 0.0001,                 0.0001,                 0.0001
                     83,                0.35035,                 0.5178,                0.54256,                0.80748,                0.82713,                0.81682,                0.47368,                0.39313,                0.58615,                0.68496,                 0.0001,                 0.0001,                 0.0001
                     84,                0.35646,                0.52475,                0.54649,                0.80859,                0.79817,                0.80107,                0.47781,                0.36917,                0.56959,                0.62507,                 0.0001,                 0.0001,                 0.0001
                     85,                0.35475,                0.52222,                0.53592,                 0.8029,                0.80788,                0.80976,                0.47459,                0.38344,                 0.6228,                0.64564,                 0.0001,                 0.0001,                 0.0001
                     86,                0.34998,                 0.5304,                0.52979,                0.78697,                0.73176,                0.75065,                0.43571,                0.38755,                0.66546,                0.67785,                 0.0001,                 0.0001,                 0.0001
                     87,                0.36214,                0.53169,                0.55094,                0.85691,                0.81317,                0.83261,                0.49755,                0.37295,                0.54251,                 0.6157,                 0.0001,                 0.0001,                 0.0001
                     88,                0.34417,                0.48076,                0.52975,                0.82657,                0.77618,                0.77207,                0.46556,                0.36186,                0.61304,                0.60291,                 0.0001,                 0.0001,                 0.0001
                     89,                0.34967,                0.51769,                0.53379,                 0.8198,                0.75206,                0.77409,                0.45343,                0.37772,                0.59954,                 0.6417,                 0.0001,                 0.0001,                 0.0001
                     90,                0.35651,                0.49091,                0.56683,                0.85032,                0.83597,                0.84164,                0.50765,                0.36734,                0.57731,                0.61197,                 0.0001,                 0.0001,                 0.0001
                     91,                0.34873,                0.49412,                0.54057,                0.83361,                 0.8488,                0.82582,                0.46849,                0.38804,                0.61276,                0.68101,                 0.0001,                 0.0001,                 0.0001
                     92,                 0.3564,                0.50829,                0.53867,                0.82553,                0.73832,                0.74216,                0.43393,                0.38358,                0.67688,                0.66096,                 0.0001,                 0.0001,                 0.0001
                     93,                0.33842,                0.51612,                0.51107,                0.84069,                0.86183,                0.84694,                0.49014,                0.39384,                 0.5645,                0.68936,                 0.0001,                 0.0001,                 0.0001
                     94,                0.34269,                0.48306,                0.53267,                0.85761,                0.81533,                0.82246,                   0.51,                0.36222,                 0.5468,                0.59738,                 0.0001,                 0.0001,                 0.0001
                     95,                0.34579,                0.47843,                0.53964,                0.85345,                0.81357,                0.81953,                0.52236,                0.34487,                0.56278,                 0.5624,                 0.0001,                 0.0001,                 0.0001
                     96,                0.32421,                0.48746,                0.49986,                0.87915,                0.77482,                0.81745,                0.47524,                0.38622,                0.58613,                  0.673,                 0.0001,                 0.0001,                 0.0001
                     97,                0.34716,                0.52956,                 0.5448,                0.85143,                0.78953,                0.80694,                0.50079,                0.34972,                0.59002,                0.56823,                 0.0001,                 0.0001,                 0.0001
                     98,                0.34734,                0.50956,                0.54309,                0.84316,                0.81193,                0.84122,                0.52317,                0.35194,                0.54857,                0.58199,                 0.0001,                 0.0001,                 0.0001
                     99,                0.33536,                0.49019,                0.51783,                0.83764,                0.78799,                0.77891,                0.44051,                 0.3919,                0.62756,                0.69153,                 0.0001,                 0.0001,                 0.0001
                    100,                0.33346,                0.48141,                 0.5217,                0.85377,                0.81358,                 0.8067,                0.49056,                0.36424,                 0.5735,                0.61418,                 0.0001,                 0.0001,                 0.0001
