                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81672,                 4.4606,                 1.3489,                0.00021,                0.12773,                0.00041,                  7e-05,                 1.2498,                0.90678,                 2.4783,               0.097652,               2.35e-06,               2.35e-06
                      2,                0.64512,                 1.5715,                0.94306,                0.00096,                0.41509,                0.01398,                0.00265,                0.94217,                 1.1203,                 1.6487,               0.095255,               4.75e-06,               4.75e-06
                      3,                 0.5522,                  1.702,                0.80204,                0.00029,                0.17445,                0.00281,                0.00053,                 1.0516,                0.94583,                 1.8534,               0.092857,               7.15e-06,               7.15e-06
                      4,                0.41824,                 1.9062,                 0.5954,                0.00029,                0.17445,                0.00281,                0.00053,                 1.6232,                0.27468,                 3.3061,                0.09046,               9.55e-06,               9.55e-06
                      5,                0.43715,                 1.8564,                0.60691,                0.00012,                0.12778,                0.00016,                  3e-05,                 1.0548,                0.83314,                 1.9328,               0.088062,              1.195e-05,              1.195e-05
                      6,                0.40079,                   1.85,                0.56124,                  7e-05,                0.04361,                  5e-05,                  1e-05,                 1.2769,                0.52344,                 2.4463,               0.085664,              1.435e-05,              1.435e-05
                      7,                0.35663,                 1.9463,                0.48483,                0.00048,                0.28972,                0.00099,                0.00022,                0.88148,                 1.2269,                  1.625,               0.083267,              1.675e-05,              1.675e-05
                      8,                0.35713,                 1.9528,                0.45937,                 0.0008,                0.33333,                0.01565,                0.00464,                0.54798,                 1.8348,                0.95604,               0.080869,              1.915e-05,              1.915e-05
                      9,                0.33014,                  2.009,                0.44327,                0.00054,                0.31153,                0.00073,                0.00029,                0.66435,                 1.5986,                 1.2081,               0.078472,              2.155e-05,              2.155e-05
                     10,                0.33402,                 1.9725,                0.44559,                0.33355,                 0.1215,                0.00044,                  6e-05,                  1.152,                0.79451,                 2.1384,               0.076074,              2.395e-05,              2.395e-05
                     11,                0.29549,                 2.0828,                0.36728,                0.00103,                0.30555,                 0.0042,                 0.0011,                0.91121,                 1.5952,                 1.6083,               0.073676,              2.635e-05,              2.635e-05
                     12,                0.28758,                  2.105,                0.37266,                0.00013,                0.13889,                0.00158,                0.00028,                 1.0509,                0.88046,                 1.9568,               0.071279,              2.875e-05,              2.875e-05
                     13,                0.27893,                 2.1094,                0.35143,                0.00028,                0.16511,                0.00024,                  6e-05,                 1.0304,                0.88725,                 1.9136,               0.068881,              3.115e-05,              3.115e-05
                     14,                0.29667,                 2.0877,                0.39649,                0.00042,                0.24299,                0.00077,                0.00015,                0.97225,                 1.0848,                 1.7117,               0.066484,              3.355e-05,              3.355e-05
                     15,                0.29229,                 2.0682,                0.36833,                0.00204,                0.50123,                0.00319,                0.00081,                 0.9154,                 1.2356,                 1.8067,               0.064086,              3.595e-05,              3.595e-05
                     16,                0.27331,                 2.0904,                0.37043,                0.00021,                0.09715,                 0.0003,                  6e-05,                 1.2145,                0.70601,                 2.8842,               0.061688,              3.835e-05,              3.835e-05
                     17,                0.26339,                 2.1241,                0.33869,                0.00406,                 0.4346,                0.01452,                0.00286,                0.93803,                 1.0014,                 2.1988,               0.059291,              4.075e-05,              4.075e-05
                     18,                0.27083,                 2.1156,                0.35232,                0.00406,                 0.4346,                0.01452,                0.00286,                 1.6882,                0.36178,                   2.73,               0.056893,              4.315e-05,              4.315e-05
                     19,                0.27925,                 2.0626,                0.36406,                  9e-05,                0.05296,                0.00011,                  1e-05,                 1.3386,                0.55525,                 2.1284,               0.054496,              4.555e-05,              4.555e-05
                     20,                0.27001,                 2.0968,                0.35355,                  9e-05,                0.05296,                0.00011,                  1e-05,                  1.754,                 0.0749,                 3.8064,               0.052098,              4.795e-05,              4.795e-05
                     21,                0.27349,                 2.1082,                  0.366,                 0.3382,                0.47854,                0.01603,                0.00386,                0.96708,                 1.0592,                 1.7686,                 0.0497,              5.035e-05,              5.035e-05
                     22,                0.25506,                 2.1452,                0.33705,                0.00029,                0.18889,                 0.0008,                0.00016,                 0.9536,                  1.181,                 1.7123,               0.047303,              5.275e-05,              5.275e-05
                     23,                0.26545,                 2.0932,                0.34605,                0.00426,                0.58198,                0.04918,                0.01898,                0.52844,                 1.7433,                0.94712,               0.044905,              5.515e-05,              5.515e-05
